@file,1,DJM-A9,,,,,,,,,,,,
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
,,,,,,,,,,,,,,
#CH1-CH4,,,,,,,,,,,,,,
InputSelectA,InputSelect.A,Button,,9035,9039,903D,9041,,,,,,RO,Select INPUT to USBA
InputSelectB,InputSelect.B,Button,,9042,9044,9046,9048,,,,,,RO,Select INPUT to USBB
InputSelectExternal,InputSelect.DIGITAL,Button,,9032,9036,903A,903E,,,,,,RO,Select INPUT to DIGITAL
InputSelectExternal,InputSelect.LINE,Button,,9033,9037,903B,903F,,,,,,RO,Select INPUT to LINE
InputSelectExternal,InputSelect.PHONO,Button,,9034,9038,903C,9040,,,,,,RO,Select INPUT to PHONO
InputSelectExternal,InputSelect.RETURN,Button,,9043,9045,9047,9049,,,,,,RO,Select INPUT to RETURN
InputSelectExternal,InputSelect.USB,Button,,904A,904B,904C,904D,,,,,,RO,Select INPUT to USB
InputSelectExternal,InputSelect.BLUETOOTH,Button,,9051,9052,9053,9054,,,,,,RO,Select INPUT to BLUETOOTH
ChannelFader,ChannelFader,KnobSlider,,B011,B012,B013,B014,,,,,,,Channel Fader
CrossfaderAssign,,KnobSlider,,B041,B042,B043,B044,,,,,,Max=127,CrossFaderAssign A(0x00)/Thru(0x40)/B(0x7F)
,,,,,,,,,,,,,,
#CROSS FADER,,,,,,,,,,,,,,
CrossFader,CrossFader,KnobSlider,B00B,,,,,,,,,,Fast,Crossfader
,,,,,,,,,,,,,,
#FADER CURVE,,,,,,,,,,,,,,
#,ChannelFaderType,KnobSlider,B05E,,,,,,,,,,Max=127,ChannelFaderType Left(0x00)/Center(0x40)/Right(0x7F)
#,CrossFaderType,KnobSlider,B05F,,,,,,,,,,Max=127,CrossFaderType   Left(0x00)/Center(0x40)/Right(0x7F)
,,,,,,,,,,,,,,
#MASTER,,,,,,,,,,,,,,
#,MasterLevel,KnobSlider,B018,,,,,,,,,,Fast,Master Level
#,Balance,KnobSlider,B017,,,,,,,,,,Fast,Balance
#,MasterCue,Button,900E,,,,,,,,,,,Master CUE (Headphone CUE A valid/invalid)
#,MasterCue,Button,9014,,,,,,,,,,,Master CUE (Headphone CUE B valid/invalid)
#,EqCurve,Button,B021,,,,,,,,,,,ISOLATOR(0x00)/EQ(0x7F)
,,,,,,,,,,,,,,
#BOOTH MONITOR,,,,,,,,,,,,,,
