@file,1,DDJ-FLX2,,,,,,,,,,,,
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
,,,,,,,,,,,,,,
# Deck,,,,,,,,,,,,,,
PlayPause,PlayPause,Button,900B,0,1,,,900B,0,1,,,Fast;Priority=50,Play/Pause
PlayPause,PlayPause+Shift,Button,9047,0,1,,,9047,0,1,,,Fast;Priority=50,Play/Pause
Cue,Cue,Button,900C,0,1,,,900C,0,1,,,Fast;Priority=50,Cue Set/Play Cue Back
JumpToTrackStart,Cue+Shift,Button,9048,0,1,,,9048,0,1,,,Fast;Priority=50,Jump to track start
,,,,,,,,,,,,,,
# Scratch,,,,,,,,,,,,,,
JogScratch,JogScratch,JogRotate,B022,0,1,,,,,,,,RO,Scratch
JogPitchBend,JogPitchBend,JogRotate,B023,0,1,,,,,,,,RO,Pitch Bend
JogSearch,JogSearch,Difference,B029,0,1,,,,,,,,RO,Search
JogTouch,JogTouch,JogTouch,9036,0,1,,,,,,,,RO,Touch
JogTouch,JogTouch+Shift,JogTouch,9067,0,1,,,,,,,,RO,Touch
WheelPitchBend,WheelPitchBend,JogRotate,B021,0,1,,,,,,,,RO,Pitch Bend
,,,,,,,,,,,,,,
TempoSlider,TempoSlider,KnobSliderHiRes,B000,0,1,,,,,,,,Fast,Tempo Control
Sync,Sync,Button,9058,0,1,,,9058,0,1,,,Blink=600,Sync On/Off
PadModeSelect,Sync+Shift,Button,902A,0,1,,,902A,0,1,,,,PadModeSelect On/Off
Master,Sync+LongPress,Button,905C,0,1,,,,,,,,,Master On/Off
Shift,Shift,Button,903F,0,1,,,,,,,,RO,Shift
,,,,,,,,,,,,,,
# Mixer,,,,,,,,,,,,,,
CrossFader,CrossFader,KnobSliderHiRes,B61F,,,,,,,,,,Fast,Crossfader
ChannelFader,ChannelFader,KnobSliderHiRes,B013,0,1,,,,,,,,,CH Fader
ChannelFaderStartPlay,ChannelFaderStartPlay,Button,9066,0,1,,,,,,,,RO,CH Fader Start (PLAY)
ChannelFaderStartCue,ChannelFaderStartCue,Button,9052,0,1,,,,,,,,RO,CH Fader Start (CUE)
EQHigh,EQHigh,KnobSliderHiRes,B007,0,1,,,,,,,,Fast,EQ High
EQMid,EQMid,KnobSliderHiRes,B00B,0,1,,,,,,,,Fast,EQ Mid
EQLow,EQLow,KnobSliderHiRes,B00F,0,1,,,,,,,,Fast,EQ Low
CFXParameterCH1,CFXParameterCH1,KnobSliderHiRes,B617,,,,,,,,,,Fast,CH1 CFX Depth
CFXParameterCH2,CFXParameterCH2,KnobSliderHiRes,B618,,,,,,,,,,Fast,CH2 CFX Depth
#MasterCue,MasterCue,Button,9663,,,,,,,,,,,Master CUE (All Headphone CUE valid/invalid) (no output)
SmartCFX,MasterCue+Shift,Button,9600,,,,,9600,,,,,,SMART CFX ON/OFF
HeadphoneCue,HeadphoneCue,Button,9054,0,1,,,9054,0,1,,,,Headphone CUE On/Off
SmartCFXSelectBack,HeadphoneCueCH1+Shift,Button,9008,,,,,,,,,,,SMART CFX Select Back
SmartCFXSelect,HeadphoneCueCH2+Shift,Button,9107,,,,,,,,,,,SMART CFX Select
SmartFader,SmartFader,Button,9601,,,,,9601,,,,,,SMART FADER ON/OFF
MasterLevel,MasterLevel,KnobSliderHiRes,B608,,,,,,,,,,,No function assigned here
HeadphonesVolume,HeadphonesVolume,KnobSliderHiRes,B60D,,,,,,,,,,,No function assigned here
,,,,,,,,,,,,,,
# Mode
HotCue,HotCueMode,Indicator,,,,,,9000,0,1,,,RO;Fast,HOT CUE Mode On/Off
BeatLoop,BeatLoopMode,Indicator,,,,,,9001,0,1,,,RO;Fast,BEAT LOOP Mode On/Off
#,BeatJump,Indicator,,,,,,9002,0,1,,,RO;Fast,
Sampler,SamplerMode,Indicator,,,,,,9003,0,1,,,RO;Fast,SAMPLER Mode On/Off
#,Keyboard,Indicator,,,,,,9004,0,1,,,RO;Fast,
PadFx1,PadFx1Mode,Indicator,,,,,,9005,0,1,,,RO;Fast,PAD FX1 Mode On/Off
#,ManualLoop,Indicator,,,,,,9006,0,1,,,RO;Fast,
#,KeyShift,Indicator,,,,,,9007,0,1,,,RO;Fast,
,,,,,,,,,,,,,,
# Performance,,,,,,,,,,,,,,
PAD1_HotCue,PAD1_PadMode1,Pad,9000,7,9,,,9000,7,9,,,Fast,HOT CUE1
PAD1_HotCue+Shift,PAD1_PadMode1+Shift,Pad,9000,8,10,,,9000,8,10,,,Fast,Delete HOT CUE1
PAD1_PadFx1,PAD1_PadMode2,Pad,9010,7,9,,,9010,7,9,,,Fast,PAD FX1 Slot1 (momentary)
PAD9_PadFx1,PAD1_PadMode2+Shift,Pad,9010,8,10,,,9010,8,10,,,Fast,PAD FX1 Slot9 (momentary)
PAD5_BeatLoop,PAD1_PadMode3,Pad,9060,7,9,,,9060,7,9,,,Fast,BEAT LOOP 1/4
#,PAD1_PadMode3+Shift,Pad,9060,8,10,,,9060,8,10,,,Fast,No function assigned here
PAD1_Sampler,PAD1_PadMode4,Pad,9030,7,9,,,9030,7,9,,,Fast,Sample Slot 1 play
PAD1_Sampler+Shift,PAD1_PadMode4+Shift,Pad,9030,8,10,,,9030,8,10,,,Fast,Sample Slot 1 stop
HotCue,HotCueMode,Button,9000,0,1,,,9000,0,1,,,Fast,HOT CUE Mode On/Off
,,,,,,,,,,,,,,
PAD2_HotCue,PAD2_PadMode1,Pad,9001,7,9,,,9001,7,9,,,Fast,HOT CUE2
PAD2_HotCue+Shift,PAD2_PadMode1+Shift,Pad,9001,8,10,,,9001,8,10,,,Fast,Delete HOT CUE2
PAD2_PadFx1,PAD2_PadMode2,Pad,9011,7,9,,,9011,7,9,,,Fast,PAD FX1 Slot2 (momentary)
PAD10_PadFx1,PAD2_PadMode2+Shift,Pad,9011,8,10,,,9011,8,10,,,Fast,PAD FX1 Slot10 (momentary)
PAD6_BeatLoop,PAD2_PadMode3,Pad,9061,7,9,,,9061,7,9,,,Fast,BEAT LOOP 1/2
#,PAD2_PadMode3+Shift,Pad,9061,8,10,,,9061,8,10,,,Fast,No function assigned here
PAD2_Sampler,PAD2_PadMode4,Pad,9031,7,9,,,9031,7,9,,,Fast,Sample Slot 2 play
PAD2_Sampler+Shift,PAD2_PadMode4+Shift,Pad,9031,8,10,,,9031,8,10,,,Fast,Sample Slot 2 stop
PadFx1,PadFx1,Button,9005,0,1,,,9005,0,1,,,Fast,PAD FX1 Mode On/Off
,,,,,,,,,,,,,,
PAD3_HotCue,PAD3_PadMode1,Pad,9002,7,9,,,9002,7,9,,,Fast,HOT CUE3
PAD3_HotCue+Shift,PAD3_PadMode1+Shift,Pad,9002,8,10,,,9002,8,10,,,Fast,Delete HOT CUE3
PAD3_PadFx1,PAD3_PadMode2,Pad,9012,7,9,,,9012,7,9,,,Fast,PAD FX1 Slot3 (momentary)
